Year-Tm,Year,Tm,Lg,G,W,L,W-L%,#Bat,R/G-hit,PA-hit,AB-hit,R-hit,H-hit,2B-hit,3B-hit,HR-hit,RBI-hit,SB-hit,CS-hit,BB-hit,SO-hit,BA-hit,OBP-hit,SLG-hit,OPS-hit,TB-hit,GDP-hit,HBP-hit,SH-hit,SF-hit,IBB-hit,LOB-hit,OPS+-hit,ERA-pitch,CG-pitch,SHO-pitch,SV-pitch,IP-pitch,H-pitch,R-pitch,ER-pitch,HR-pitch,BB-pitch,IBB-pitch,SO-pitch,HBP-pitch,BK-pitch,WP-pitch,BF-pitch,WHIP-pitch,H9-pitch,HR9-pitch,BB9-pitch,SO9-pitch,SO/W-pitch,ERA+-pitch,Winner
2017MIL,2017,MIL,NL,162.0,86.0,76.0,0.531,50.0,4.52,6135.0,5467.0,732.0,1363.0,267.0,22.0,224.0,695.0,128.0,41.0,547.0,1571.0,0.249,0.322,0.429,0.7509999999999999,2346.0,116.0,53.0,42.0,26.0,34.0,1088.0,94.0,4.0,1,0,54,1445.2,1381,697,642,185,553,45,1346,64,2,50,6164,1.338,8.6,1.2,3.4,8.4,2.43,110,False
2017NYM,2017,NYM,NL,162.0,70.0,92.0,0.43200000000000005,52.0,4.54,6169.0,5510.0,735.0,1379.0,286.0,28.0,224.0,713.0,58.0,23.0,529.0,1291.0,0.25,0.32,0.434,0.755,2393.0,118.0,57.0,36.0,37.0,31.0,1099.0,101.0,5.01,2,0,34,1434.2,1538,863,799,220,593,51,1374,55,5,55,6378,1.485,9.6,1.4,3.7,8.6,2.32,83,False
2009PHI,2009,PHI,NL,162.0,93.0,69.0,0.574,41.0,5.06,6338.0,5578.0,820.0,1439.0,312.0,35.0,224.0,788.0,119.0,28.0,589.0,1155.0,0.258,0.33399999999999996,0.447,0.7809999999999999,2493.0,90.0,71.0,55.0,45.0,47.0,1192.0,104.0,4.16,8,5,44,1455.2,1479,709,673,189,489,31,1153,75,2,28,6263,1.3519999999999999,9.1,1.2,3.0,7.1,2.36,101,False
2019CLE,2019,CLE,AL,162.0,93.0,69.0,0.574,48.0,4.75,6124.0,5425.0,769.0,1354.0,286.0,18.0,223.0,731.0,103.0,35.0,563.0,1332.0,0.25,0.32299999999999995,0.43200000000000005,0.7559999999999999,2345.0,110.0,50.0,40.0,46.0,30.0,1072.0,94.0,3.79,6,5,42,1437.2,1308,657,606,207,450,19,1508,62,2,42,6008,1.2229999999999999,8.2,1.3,2.8,9.4,3.35,127,False
2019TEX,2019,TEX,AL,162.0,78.0,84.0,0.48100000000000004,39.0,5.0,6204.0,5540.0,810.0,1374.0,296.0,24.0,223.0,765.0,131.0,38.0,534.0,1578.0,0.248,0.319,0.431,0.75,2387.0,98.0,67.0,17.0,44.0,18.0,1066.0,88.0,5.09,4,1,33,1437.2,1515,878,813,241,583,11,1379,70,3,68,6354,1.459,9.5,1.5,3.6,8.6,2.37,102,False
2017CHC,2017,CHC,NL,162.0,92.0,70.0,0.568,47.0,5.07,6283.0,5496.0,822.0,1402.0,274.0,29.0,223.0,785.0,62.0,31.0,622.0,1401.0,0.255,0.33799999999999997,0.43700000000000006,0.775,2403.0,134.0,82.0,48.0,32.0,54.0,1147.0,99.0,3.95,2,1,38,1447.1,1294,695,636,194,554,29,1439,66,4,73,6108,1.2770000000000001,8.0,1.2,3.4,8.9,2.6,112,False
2016SEA,2016,SEA,AL,162.0,86.0,76.0,0.531,40.0,4.74,6227.0,5583.0,768.0,1446.0,251.0,17.0,223.0,735.0,56.0,28.0,506.0,1288.0,0.259,0.326,0.43,0.7559999999999999,2400.0,138.0,72.0,24.0,41.0,29.0,1099.0,106.0,4.0,2,2,49,1457.0,1410,707,647,213,460,30,1318,55,7,52,6147,1.2830000000000001,8.7,1.3,2.8,8.1,2.87,102,False
2017TOR,2017,TOR,AL,162.0,76.0,86.0,0.469,44.0,4.28,6154.0,5499.0,693.0,1320.0,269.0,5.0,222.0,661.0,53.0,24.0,542.0,1327.0,0.24,0.312,0.41200000000000003,0.7240000000000001,2265.0,153.0,51.0,25.0,35.0,12.0,1064.0,91.0,4.42,2,0,45,1465.0,1460,784,720,203,549,25,1372,48,4,53,6316,1.371,9.0,1.2,3.4,8.4,2.5,102,False
2011NYY,2011,NYY,AL,162.0,97.0,65.0,0.599,35.0,5.35,6306.0,5518.0,867.0,1452.0,267.0,33.0,222.0,836.0,147.0,46.0,627.0,1138.0,0.263,0.34299999999999997,0.444,0.7879999999999999,2451.0,146.0,74.0,36.0,51.0,34.0,1114.0,110.0,3.73,5,3,47,1458.1,1423,657,605,152,507,43,1222,58,3,67,6216,1.3230000000000002,8.8,0.9,3.1,7.5,2.41,116,False
2017LAD,2017,LAD,NL,162.0,104.0,58.0,0.642,52.0,4.75,6191.0,5408.0,770.0,1347.0,312.0,20.0,221.0,730.0,77.0,28.0,649.0,1380.0,0.249,0.33399999999999996,0.43700000000000006,0.7709999999999999,2362.0,119.0,64.0,31.0,38.0,41.0,1146.0,104.0,3.38,2,0,51,1444.2,1226,580,543,184,442,33,1549,40,10,40,5925,1.155,7.6,1.1,2.8,9.6,3.5,123,False
2016TOR,2016,TOR,AL,162.0,89.0,73.0,0.5489999999999999,38.0,4.69,6233.0,5479.0,759.0,1358.0,276.0,18.0,221.0,728.0,54.0,24.0,632.0,1362.0,0.248,0.33,0.426,0.755,2333.0,153.0,55.0,26.0,40.0,16.0,1120.0,101.0,3.79,0,0,43,1459.1,1340,666,615,183,461,10,1314,59,7,50,6113,1.234,8.3,1.1,2.8,8.1,2.85,113,False
2000CLE,2000,CLE,AL,162.0,90.0,72.0,0.556,39.0,5.86,6512.0,5683.0,950.0,1639.0,310.0,30.0,221.0,889.0,113.0,34.0,685.0,1057.0,0.28800000000000003,0.36700000000000005,0.47,0.8370000000000001,2672.0,134.0,51.0,41.0,52.0,27.0,1260.0,110.0,4.84,6,2,34,1442.1,1511,816,775,173,666,45,1213,42,3,50,6380,1.5090000000000001,9.4,1.1,4.2,7.6,1.82,102,False
2019ARI,2019,ARI,NL,162.0,85.0,77.0,0.525,45.0,5.02,6315.0,5633.0,813.0,1419.0,288.0,40.0,220.0,778.0,88.0,14.0,540.0,1360.0,0.252,0.32299999999999995,0.434,0.757,2447.0,120.0,70.0,31.0,40.0,36.0,1119.0,94.0,4.25,0,0,45,1465.0,1400,743,691,220,516,38,1427,62,4,49,6230,1.308,8.6,1.4,3.2,8.8,2.77,106,False
2019LAA,2019,LAA,AL,162.0,72.0,90.0,0.444,46.0,4.75,6251.0,5542.0,769.0,1368.0,268.0,21.0,220.0,734.0,65.0,20.0,586.0,1276.0,0.247,0.324,0.42200000000000004,0.746,2338.0,143.0,67.0,4.0,42.0,29.0,1125.0,94.0,5.12,0,0,32,1442.2,1417,868,820,267,576,11,1404,82,9,98,6289,1.381,8.8,1.7,3.6,8.8,2.44,93,False
2017ARI,2017,ARI,NL,162.0,93.0,69.0,0.574,45.0,5.01,6224.0,5525.0,812.0,1405.0,314.0,39.0,220.0,776.0,103.0,30.0,578.0,1456.0,0.254,0.32899999999999996,0.445,0.774,2457.0,106.0,54.0,39.0,27.0,44.0,1118.0,94.0,3.67,2,1,43,1441.0,1309,659,588,171,516,45,1482,38,5,82,6072,1.266,8.2,1.1,3.2,9.3,2.87,128,False
2019SDP,2019,SDP,NL,162.0,70.0,92.0,0.43200000000000005,54.0,4.21,6019.0,5391.0,682.0,1281.0,224.0,24.0,219.0,652.0,70.0,37.0,504.0,1581.0,0.23800000000000002,0.308,0.41,0.718,2210.0,120.0,55.0,37.0,31.0,19.0,1008.0,90.0,4.63,0,0,47,1432.1,1394,789,737,215,463,19,1475,68,6,60,6160,1.296,8.8,1.4,2.9,9.3,3.19,90,False
2017CIN,2017,CIN,NL,162.0,68.0,94.0,0.42,47.0,4.65,6213.0,5484.0,753.0,1390.0,249.0,38.0,219.0,715.0,120.0,39.0,565.0,1329.0,0.253,0.32899999999999996,0.433,0.7609999999999999,2372.0,116.0,72.0,50.0,42.0,41.0,1135.0,97.0,5.17,2,1,33,1430.0,1442,869,821,248,631,37,1300,77,7,62,6286,1.45,9.1,1.6,4.0,8.2,2.06,87,False
2018MIL,2018,MIL,NL,163.0,96.0,67.0,0.589,53.0,4.63,6210.0,5542.0,754.0,1398.0,252.0,24.0,218.0,711.0,124.0,32.0,537.0,1458.0,0.252,0.32299999999999995,0.424,0.747,2352.0,128.0,58.0,29.0,41.0,32.0,1106.0,99.0,3.73,0,0,49,1461.0,1259,659,606,173,553,34,1428,61,5,50,6114,1.24,7.8,1.1,3.4,8.8,2.58,110,False
2016NYM,2016,NYM,NL,162.0,87.0,75.0,0.537,46.0,4.14,6115.0,5459.0,671.0,1342.0,240.0,19.0,218.0,649.0,42.0,18.0,517.0,1302.0,0.24600000000000002,0.316,0.41700000000000004,0.733,2274.0,123.0,62.0,35.0,41.0,43.0,1120.0,97.0,3.58,1,1,55,1447.1,1397,617,575,152,439,39,1396,35,7,50,6067,1.2690000000000001,8.7,0.9,2.7,8.7,3.18,113,False
2019TBR,2019,TBR,AL,162.0,96.0,66.0,0.593,48.0,4.75,6285.0,5628.0,769.0,1427.0,291.0,29.0,217.0,730.0,94.0,37.0,542.0,1493.0,0.254,0.325,0.431,0.757,2427.0,114.0,73.0,8.0,34.0,20.0,1130.0,103.0,3.67,0,0,46,1474.1,1274,656,602,181,453,27,1621,60,7,59,6086,1.171,7.8,1.1,2.8,9.9,3.58,119,False
2018TOR,2018,TOR,AL,162.0,73.0,89.0,0.451,51.0,4.38,6076.0,5477.0,709.0,1336.0,320.0,16.0,217.0,680.0,47.0,30.0,499.0,1387.0,0.244,0.312,0.42700000000000005,0.7390000000000001,2339.0,118.0,58.0,5.0,37.0,15.0,1036.0,102.0,4.85,0,0,39,1433.2,1476,832,773,208,551,19,1298,67,5,71,6265,1.4140000000000001,9.3,1.3,3.5,8.1,2.36,88,False
2015BAL,2015,BAL,AL,162.0,81.0,81.0,0.5,43.0,4.4,6007.0,5485.0,713.0,1370.0,246.0,20.0,217.0,686.0,44.0,25.0,418.0,1331.0,0.25,0.307,0.42100000000000004,0.728,2307.0,127.0,51.0,20.0,32.0,23.0,990.0,97.0,4.05,0,0,43,1434.2,1406,693,646,174,483,27,1233,54,0,46,6085,1.317,8.8,1.1,3.0,7.7,2.55,102,False
2018CLE,2018,CLE,AL,162.0,91.0,71.0,0.562,41.0,5.05,6300.0,5595.0,818.0,1447.0,297.0,19.0,216.0,786.0,135.0,36.0,554.0,1189.0,0.259,0.332,0.434,0.7659999999999999,2430.0,98.0,80.0,25.0,44.0,32.0,1147.0,106.0,3.77,5,2,41,1457.2,1349,648,611,200,407,29,1544,59,2,54,6071,1.205,8.3,1.2,2.5,9.5,3.79,115,False
2016TBR,2016,TBR,AL,162.0,68.0,94.0,0.42,39.0,4.15,6046.0,5481.0,672.0,1333.0,288.0,32.0,216.0,647.0,60.0,37.0,449.0,1482.0,0.243,0.307,0.426,0.733,2333.0,88.0,69.0,18.0,28.0,20.0,1060.0,100.0,4.2,1,1,42,1426.1,1395,713,665,210,491,25,1357,32,7,61,6076,1.3219999999999998,8.8,1.3,3.1,8.6,2.76,96,False
2019PHI,2019,PHI,NL,162.0,81.0,81.0,0.5,56.0,4.78,6261.0,5571.0,774.0,1369.0,311.0,26.0,215.0,742.0,78.0,18.0,562.0,1453.0,0.24600000000000002,0.319,0.42700000000000005,0.746,2377.0,97.0,57.0,34.0,34.0,47.0,1129.0,92.0,4.53,3,1,36,1453.2,1452,794,732,258,546,38,1392,71,7,45,6274,1.374,9.0,1.6,3.4,8.6,2.55,98,False
2017WSN,2017,WSN,NL,162.0,97.0,65.0,0.599,49.0,5.06,6214.0,5553.0,819.0,1477.0,311.0,31.0,215.0,796.0,108.0,30.0,542.0,1327.0,0.266,0.332,0.449,0.782,2495.0,116.0,31.0,43.0,45.0,56.0,1101.0,99.0,3.88,3,1,46,1446.2,1300,672,624,189,495,39,1457,60,5,44,6068,1.2409999999999999,8.1,1.2,3.1,9.1,2.94,116,False
2016TEX,2016,TEX,AL,162.0,95.0,67.0,0.586,40.0,4.72,6089.0,5525.0,765.0,1446.0,257.0,23.0,215.0,746.0,99.0,36.0,436.0,1220.0,0.262,0.322,0.433,0.755,2394.0,114.0,70.0,18.0,40.0,23.0,1038.0,96.0,4.38,1,0,56,1443.0,1441,757,703,201,534,16,1154,53,5,45,6186,1.369,9.0,1.3,3.3,7.2,2.16,104,False
2018LAA,2018,LAA,AL,162.0,80.0,82.0,0.494,44.0,4.45,6108.0,5472.0,721.0,1323.0,249.0,23.0,214.0,690.0,89.0,22.0,514.0,1300.0,0.242,0.313,0.413,0.726,2260.0,111.0,73.0,7.0,39.0,38.0,1071.0,99.0,4.15,1,1,35,1437.1,1353,722,663,205,546,17,1386,65,3,87,6108,1.321,8.5,1.3,3.4,8.7,2.54,102,False
